Method,Density,Moran,Local Balance
K-Means (11_lexico),0.3041643357591377,-0.19948724542608867,0.8521272447430307
K-Means (11_lexico),0.13599706616006707,-0.0686315141147102,0.5178732382669978
K-Means (11_lexico),-0.1898241275985405,-0.11287500107550212,1.1362882715381883
K-Means (11_lexico),0.09363391836689891,-0.08203332649237124,0.37791867746719776
K-Means (11_lexico),0.15682613674796714,-0.22600744720938415,0.34606878460442586
K-Means (11_lexico),0.32232312251598383,-0.21652926422334295,0.5517461006694191
K-Means (11_lexico),0.13463449567333485,-0.045301353011803505,0.3730978135528069
K-Means (11_lexico),0.31997653410558347,-0.21652926422334295,0.5517461006694191
K-Means (11_lexico),0.28334349975750517,-0.126904777326367,0.29299650507889874
K-Means (11_lexico),0.1051420292969045,-0.13483227175435653,0.2972798517903706
K-Means (11_random),-0.16530081396195606,-0.09894202110546904,0.468964734951764
K-Means (11_random),0.1805909543806485,-0.1023731951316898,0.7437380933049766
K-Means (11_random),-0.09544882095448955,-0.05436598622813357,0.4986767055408687
K-Means (11_random),0.2901577653256384,-0.16674944519398935,0.45912997987431364
K-Means (11_random),0.04053897608575647,-0.11728569910294463,0.37456619369201494
K-Means (11_random),0.16068405610686803,-0.17568720629769138,0.3852432209683007
K-Means (11_random),0.29343969679678183,-0.035450363140105044,1.5579012926299924
K-Means (11_random),0.27912223643314793,-0.2163767001828997,1.4049510298014025
K-Means (11_random),0.267574844454874,-0.14646363791907555,1.4411625131731636
K-Means (11_random),0.20796463008069155,-0.23451737765289207,0.4924676716409679
K-Means (22_lexico),0.028743757138478588,-0.16493117464115226,0.5802629250028183
K-Means (22_lexico),0.13006287032908104,-0.12624959712993325,0.46002103947657286
K-Means (22_lexico),-0.08769950641484166,-0.13247592080904919,0.4539154028219095
K-Means (22_lexico),0.1508676390482322,-0.11967506915007452,0.659887342539356
K-Means (22_lexico),0.22391569788487475,-0.18144874955339313,0.4682316022397622
K-Means (22_lexico),0.15826148437761317,-0.22544277756926304,0.3528130830166951
K-Means (22_lexico),0.168596794044129,-0.10018946368302828,1.4729141628228148
K-Means (22_lexico),0.18070256583342587,-0.20679187243393105,0.47414886277234924
K-Means (22_lexico),-0.16877530487508557,-0.18658966022623277,0.4686271990300661
K-Means (22_lexico),0.1445866018012361,-0.22770070399533868,0.6506676041311046
K-Means (22_random),0.11753667288302697,-0.14082651750601907,0.853673086212741
K-Means (22_random),0.09484762847648313,-0.10483108808338219,0.5431716148953997
K-Means (22_random),-0.09067584875357676,-0.1948045770796216,0.4013755168796137
K-Means (22_random),0.10157970572779176,-0.06909547552230774,0.6877356117842549
K-Means (22_random),-0.07550488409550725,-0.08438649221690131,0.32247595429670783
K-Means (22_random),0.18879605690904994,-0.11294919099279441,0.7329396156189035
K-Means (22_random),0.23796804567961527,-0.20178395698610818,0.39366897341622936
K-Means (22_random),0.0980080106078832,-0.23002260192995544,0.4355875460901651
K-Means (22_random),0.0889063619237686,-0.16944444688382332,1.2481518474769497
K-Means (22_random),0.19824717898301125,-0.25276967435403747,0.8182857308296712
Local Pivotal,-0.0906169305001403,-0.1517550502296097,0.5307294333193865
Local Pivotal,0.24290322346348425,-0.1277645544217244,0.39322716622505416
Local Pivotal,0.3368132827385309,-0.14085799494299522,1.0699587974762403
Local Pivotal,0.16608753456585698,-0.13268727864978702,0.42419233916191396
Local Pivotal,-0.252868101053574,-0.18743341182456655,0.3722126223901779
Local Pivotal,0.16797756833060604,-0.1555650757094676,0.30598400749974364
Local Pivotal,0.37464357588036457,-0.09982527833078582,0.4433108771024096
Local Pivotal,0.1289768010026675,-0.1349921852311916,0.47798135047281964
