"y","z","pik"
116.377017283715,631.447531951606,0.1
119.969230177028,625.506220430751,0.1
123.787997500417,614.86986290096,0.1
122.090332254597,610.684947089847,0.1
119.802850606043,605.099822565548,0.1
112.553625936418,592.193483087693,0.1
113.266270313918,592.187164272363,0.1
122.074407781765,591.744772641114,0.1
110.952139127811,591.173009806605,0.1
109.285439219831,584.411602137032,0.1
107.957489018284,581.9152949258,0.1
119.154815699706,579.320141342811,0.1
102.48980370923,579.27487527283,0.1
102.736460632936,575.057936197931,0.1
109.229418488373,573.022736712337,0.1
118.156222347888,568.532437925486,0.1
112.48969924221,567.084613462231,0.1
109.990715063795,565.690126342698,0.1
101.334630399481,564.550026097433,0.1
113.092480572482,564.312129781839,0.1
104.102466711086,559.233247320775,0.1
117.049909624611,558.470634330994,0.1
104.347069277849,555.279847095958,0.1
99.9744944695005,553.492120689574,0.1
99.8294795149474,550.63036480024,0.1
109.636079174825,549.974073162394,0.1
106.217276201546,548.881523363963,0.1
109.264988313347,546.114386206132,0.1
111.035420553019,541.014784242706,0.1
97.1249262729264,538.935064255253,0.1
110.391330244821,538.157368508247,0.1
103.987672421691,537.377274974512,0.1
108.376260578131,536.379740815429,0.1
100.424162714428,536.226513368683,0.1
111.587546421012,534.885090456309,0.1
103.127123307016,534.227591630716,0.1
103.418706203598,533.55691844987,0.1
108.364804056396,525.746606253993,0.1
103.774687748437,524.965827145059,0.1
99.8758026290299,524.782769858902,0.1
95.8548350756006,520.01681648179,0.1
105.932234009848,519.746960776077,0.1
94.631987033152,519.572372014165,0.1
103.028584246032,518.716063381883,0.1
102.381606347477,512.537301540762,0.1
94.5452094375218,511.804153516064,0.1
97.6828285294332,508.221196132799,0.1
95.8894769725108,504.599167214494,0.1
99.9527834693971,502.897392295888,0.1
99.6778147879608,501.687328768606,0.1
109.993805083241,501.391034714081,0.1
101.382990867175,501.065518660367,0.1
98.6926419989837,499.681873942667,0.1
98.6275538586303,497.119976781243,0.1
101.547167493697,496.158127507787,0.1
103.560851639268,492.761925583703,0.1
97.2379928930223,491.515909274415,0.1
92.1632816170468,490.409259853984,0.1
96.129035925007,489.688040980146,0.1
98.7136476364722,486.906281078354,0.1
93.4154132493208,486.404694558511,0.1
99.2407593332079,485.624376667063,0.1
98.8893060077316,482.195825357433,0.1
95.2721263239841,480.686704043179,0.1
99.3343457535518,479.462138607925,0.1
91.3839209423618,472.506728179518,0.1
101.179163657894,472.311649140082,0.1
102.028051748306,471.960428510483,0.1
87.4020927389674,469.884979581802,0.1
98.9373049279878,468.147889481687,0.1
89.4843200735771,466.852259910388,0.1
94.9552258615429,465.535325573364,0.1
103.825565919928,461.610474294303,0.1
103.497698014912,459.640000520314,0.1
94.4167519795587,459.351000496655,0.1
94.8241798960611,459.020930777449,0.1
92.7901046605704,458.999267470032,0.1
94.645291942334,454.53776786866,0.1
93.8184487325078,453.735348696265,0.1
89.2729789947897,452.073330655035,0.1
91.6160178826322,449.325637576659,0.1
92.7240924093006,447.684466004398,0.1
93.4431141755374,446.360635710425,0.1
84.9282378701506,445.028641609391,0.1
90.7229365235713,444.191755072659,0.1
93.8888306907423,440.689300693797,0.1
91.6186756691158,439.957266416946,0.1
83.3559991992116,439.695694072993,0.1
85.5906942988751,438.794592911854,0.1
86.3703698689128,437.666596271458,0.1
84.195216879969,437.375823139416,0.1
92.3229664049166,430.939012997402,0.1
85.3483903469837,429.892796843915,0.1
89.4511163473038,427.472250592095,0.1
89.5511881429626,418.538964303126,0.1
83.3627809031965,414.804411163987,0.1
86.7762817458863,413.239515394154,0.1
88.1618408687578,403.503787477083,0.1
86.9184810569296,403.324422379213,0.1
78.3293202800459,389.606358783996,0.1
