Method,Density,Voronoi,Moran,Local Balance
"K-Means (1, 1)",0.24259022536429997,0.26525000000000054,-0.17281683715703727,0.5666018657246497
"K-Means (1, 1)",-0.42620624507593324,0.03165000000000005,-0.13888654353489224,0.27129457980590693
"K-Means (1, 1)",-0.42620624507593324,0.03165000000000005,-0.13888654353489224,0.27129457980590693
"K-Means (1, 1)",-0.10049129004928706,0.1778500000000003,-0.22526518957248304,0.5240493304812247
"K-Means (1, 1)",0.17747402602779966,0.04245000000000007,-0.2130839457158262,0.27003546725187483
"K-Means (1, 1)",0.23773563045790427,0.08775000000000015,-0.1889127042713003,0.4130009757577656
"K-Means (1, 1)",-0.2051144196932938,0.15335000000000026,-0.05012630019722835,0.5731723678279391
"K-Means (1, 1)",0.12693264117775344,0.19875000000000034,-0.13288131762238092,0.5052184655248665
"K-Means (1, 1)",-0.12333525976893606,0.010350000000000019,-0.28493319522626326,0.1442414689690719
"K-Means (1, 1)",0.3297343697167951,0.045850000000000085,-0.11807725985280774,0.42602446534576455
"K-Means (1, 1)",0.23773563045790427,0.08775000000000015,-0.1889127042713003,0.4130009757577656
"K-Means (1, 1)",0.18558566475412258,0.08345000000000014,-0.19388764539216152,0.41394332700075587
"K-Means (1, 1)",-0.3954138612854137,0.09515000000000017,-0.052159334744389156,0.4351151817376019
"K-Means (1, 1)",-0.160407942512534,0.1720500000000003,-0.13101481643373397,0.4307526222050062
"K-Means (1, 1)",0.12693583402698977,0.08625000000000015,-0.1803194368559671,0.333689118966739
"K-Means (1, 1)",-0.07955618512314791,0.29105000000000053,-0.12943151671140093,0.5871390713332072
"K-Means (1, 1)",0.30679885956718767,0.006050000000000011,-0.14079841479116373,0.31715211970149526
"K-Means (1, 1)",-0.44701246601609035,0.14235000000000025,-0.038797860205965956,0.5165532761442024
"K-Means (1, 1)",-0.08570730586971738,0.02135000000000004,-0.22303008466188476,0.17206916324329372
"K-Means (1, 1)",-0.20641395539701624,0.07210000000000012,-0.08316066087976683,0.37658999484079225
"K-Means (1, 1)",0.33210585173524576,0.018150000000000034,-0.13178258210245894,0.36188369236360635
"K-Means (1, 1)",0.05172319167031311,0.27255000000000046,-0.15549531842426012,0.5493793392879892
"K-Means (1, 1)",-0.6790675974346873,0.0031500000000000057,-0.038336170619232224,0.3085856333760753
"K-Means (1, 1)",0.09527902533989047,0.31955000000000056,-0.14031566155680048,0.6144214107628689
"K-Means (1, 1)",-0.16287997217737918,0.2124500000000004,-0.055672412055320614,0.47549969730136343
"K-Means (1, 1)",0.1677964979951218,0.0552500000000001,-0.3387671075827804,0.29708917661173206
"K-Means (1, 1)",-0.45388235697490775,0.19935000000000036,-0.07387589735535194,0.4987481039244839
"K-Means (1, 1)",-0.3206235719125473,0.08985000000000017,-0.13585002385554326,0.3407269733077326
"K-Means (1, 1)",-0.10135568830867955,0.08145000000000013,-0.20147060804014175,0.34780469965838934
"K-Means (1, 1)",-0.36357283325280243,0.05150000000000009,-0.16577815790351672,0.2692862014686324
"K-Means (1, 1)",0.11010170273405061,0.03625000000000006,-0.211650145112684,0.26294233571038067
"K-Means (1, 1)",0.11010170273405061,0.03625000000000006,-0.211650145112684,0.26294233571038067
"K-Means (1, 1)",-0.07405464468650733,0.04805000000000008,-0.2902506833132882,0.2622969585513881
"K-Means (1, 1)",-0.04858940700982523,0.25565000000000043,-0.15613431480089912,0.5931067669772264
"K-Means (1, 1)",0.2492257938384543,0.031000000000000055,-0.15241548002317762,0.3265082015318195
"K-Means (1, 1)",0.17747402602779966,0.04245000000000007,-0.2130839457158262,0.27003546725187483
