Method,Density,Moran,Local Balance
K-Means (11_lexico),0.1541776588420068,-0.1940408791412665,0.4798619123888353
K-Means (11_lexico),-0.0113389748128007,-0.2319288251742377,0.5001686396470628
K-Means (11_lexico),0.036480375096986,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0241171475835201,-0.2926051360641798,0.3439211809851432
K-Means (11_lexico),0.0105236781706766,-0.2379097081500217,0.2225614861312378
K-Means (11_lexico),0.039163054116047,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0530727487578515,-0.5000926384244935,0.2323168906687196
K-Means (11_lexico),-0.0088187471686472,-0.4752486334023109,0.248103360290422
K-Means (11_lexico),0.0026559963406209,-0.1825922512747901,0.5373668213359691
K-Means (11_lexico),0.1143414764170113,-0.2862881083877762,0.500176877309471
K-Means (11_lexico),-0.0887817053180356,-0.2361355532993294,0.3702394723293299
K-Means (11_lexico),0.036480375096986,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0765735398741251,-0.3769611200153194,0.3457485920920886
K-Means (11_lexico),-0.0892533241660641,-0.4687020352012462,0.229971501804262
K-Means (11_lexico),0.036480375096986,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0765735398741251,-0.3769611200153194,0.3457485920920886
K-Means (11_lexico),0.0010547851719422,-0.479871164658941,0.143988545793523
K-Means (11_lexico),-0.0632453440153811,-0.3798155261186557,0.3278218469297336
K-Means (11_lexico),0.1401489438444814,-0.2985622564549525,0.4624801596506803
K-Means (11_lexico),0.0792485592968296,-0.3769611200153194,0.3457485920920886
K-Means (11_lexico),-0.0082315987226537,-0.4752486334023109,0.248103360290422
K-Means (11_lexico),-0.039401461180747,-0.1742887627524508,0.4555939299948018
K-Means (11_lexico),0.1375668239773368,-0.3153201751485932,0.4450155685908218
K-Means (11_lexico),-0.0589182689314349,-0.1617920638269851,0.489630283433615
K-Means (11_lexico),0.0742221500625087,-0.2685058569917064,0.5111944705339067
K-Means (11_lexico),0.039163054116047,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0848146797436632,-0.3284346437660703,0.255662112213012
K-Means (11_lexico),0.0208300380385541,-0.1677203117291535,0.4715765467372546
K-Means (11_lexico),-0.0868389458286686,-0.4687020352012462,0.229971501804262
K-Means (11_lexico),0.1143414764170113,-0.2862881083877762,0.500176877309471
K-Means (11_lexico),0.1496101044318581,-0.1940408791412665,0.4798619123888353
K-Means (11_lexico),0.036480375096986,-0.1241667076922648,0.5620162430336829
K-Means (11_lexico),0.0515250070381468,-0.2178879865701496,0.6497390168041278
K-Means (11_lexico),0.0765735398741251,-0.3769611200153194,0.3457485920920886
K-Means (11_lexico),-0.0082315987226537,-0.4752486334023109,0.248103360290422
K-Means (11_lexico),-0.1505252749201797,-0.1884335238243218,0.4972876192268225
K-Means (11_lexico),0.0108434006143812,-0.319881993177025,0.244933193630272
K-Means (11_lexico),0.1094608118258852,-0.2862881083877762,0.500176877309471
K-Means (11_lexico),0.0424973508807896,-0.0869110211645715,0.6858797574113308
K-Means (11_lexico),0.0354325036355416,-0.3683282892776137,0.3449137979949739
K-Means (11_lexico),0.0231343352305185,-0.1677203117291535,0.4715765467372546
