Method,Density,Moran,Voronoi
K-Means (22_lexico),0.0947521239292656,-0.2734830171373089,0.6319111281768811
K-Means (22_random),-0.2687708637165331,-0.1475087380235856,0.4722510746856986
K-Means (22_projection),0.0377646159078758,-0.3149703941743558,0.3826204056869319
K-Means (22_distance_0),0.5217902217801812,-0.3891847108726056,0.6007374579634277
K-Means (22_angel_0),-0.1556133773245189,-0.2898821439062432,0.482242571290366
Local Pivotal,0.0684520663490882,-0.2933320048476551,0.3761337277689798
Wave,0.1617204785910446,-0.1549968516584256,0.4008073424947226
K-Means (22_lexico),0.462455066934279,-0.4707565417620064,0.6136004358869698
K-Means (22_random),0.1118263105752301,-0.2587047306328633,0.5816155264411756
K-Means (22_projection),0.3271437531747669,-0.2495289236440146,0.5358142140886125
K-Means (22_distance_0),0.5248208505776378,-0.3754831853569731,0.6230343040610203
K-Means (22_angel_0),0.0377646159078758,-0.3149703941743558,0.3826204056869319
Local Pivotal,0.3294305150561435,-0.2487436204485168,0.6457097963187111
Wave,0.3073273942253996,-0.3057964198313652,0.4441986635309107
K-Means (22_lexico),0.5217902217801812,-0.3891847108726056,0.6007374579634277
K-Means (22_random),-0.2392187854683869,-0.3400600872554176,0.3718581470936311
K-Means (22_projection),-0.0954567580062439,-0.1452636385900833,0.4438590222200332
K-Means (22_distance_0),0.0377646159078758,-0.3149703941743558,0.3826204056869319
K-Means (22_angel_0),0.2962175362562502,-0.2836111973883395,0.560787585446178
Local Pivotal,-0.505145635769263,2.141558250993654e-15,0.4806568481771038
Wave,0.3320450407370828,-0.3891847108726064,0.3643747900946269
K-Means (22_lexico),-0.2263945143201113,-0.3158101459191273,0.4377580993113277
K-Means (22_random),-0.1205609181280328,-0.4478342947514816,0.2830810278862303
K-Means (22_projection),-0.3058993596883446,-0.3635852645588318,0.3585181549811405
K-Means (22_distance_0),-0.1607265566371539,-0.1589065251401272,0.4890501815729945
K-Means (22_angel_0),0.3095863005594976,-0.3649666770401584,0.5337048368119606
Local Pivotal,-0.3383714752553466,-0.244111279078941,0.4199740481955247
Wave,-0.2908881622806779,-0.2250765923459412,0.3213392239009612
K-Means (22_lexico),0.0390317430928942,-0.3179809272060012,0.6189912489748287
K-Means (22_random),-0.0547291354203128,-0.3829055358953952,0.2730192913452893
