Method,Density,Moran,Local Balance
K-Means (22_sort_),-0.03547878010139872,-0.19018983774069992,0.40075792176631553
K-Means (22_sort_),-0.03748314589171514,-0.20884007896495135,0.23660958045774913
K-Means (22_sort_),-0.24682296446150484,-0.17392218076283894,0.5836178765648393
K-Means (22_sort_),-0.3550006384556633,-0.15616441970105252,0.372346236565322
K-Means (22_sort_),0.0045430304661829264,-0.20347275982063961,0.24140263672914453
K-Means (22_sort_),-0.4175186852900093,-0.08624321942083976,0.603683813514378
K-Means (22_sort_),-0.3163102875168358,-0.12878558835359635,0.3481863582114969
K-Means (22_sort_),-0.20986911314352105,-0.02578925261407991,0.5420695462885998
K-Means (22_sort_),-0.0015829682442232418,-0.15921203880926604,0.3416801596244371
K-Means (22_sort_),-0.2854043180305551,-0.07373493377835447,0.5783730216781056
K-Means (22_sort_),-0.2695350986591535,-0.1878209235373693,0.4770047787714699
K-Means (22_sort_),-0.16266740867999346,-0.1425649508679982,0.5375391843975582
K-Means (22_sort_),-0.08887216382939353,-0.1360625785838264,0.4439509199025905
K-Means (22_sort_),-0.011125879318888452,-0.18940943937722066,0.24860444396190878
K-Means (22_sort_),-0.12854794534778902,-0.06352930309324964,0.4203621863079479
K-Means (22_sort_),-0.12658981285171458,-0.19955796626827638,0.3924217733144551
K-Means (22_sort_),0.07388586394702011,-0.2044559942100227,0.5219926380686903
K-Means (22_sort_),-0.09856789095513459,-0.21711150995736095,0.3884803082347237
K-Means (22_sort_),-0.051196514729213306,-0.1882026806876745,0.4002864736920067
K-Means (22_sort_),-0.12408854768088268,-0.19175303477697347,0.44556650495576117
K-Means (22_sort_),-0.02634207737414115,-0.17160882775723446,0.26977755058243347
K-Means (22_sort_),-0.19277487269537352,-0.020947366323307143,0.5542418496218909
K-Means (22_sort_),-0.2798344049670242,-0.07816434718766686,0.46095362482724883
K-Means (22_sort_),-0.3509927228971638,-0.24496812086502753,0.41004630391074093
K-Means (22_sort_),-0.16431435015392634,-0.1636894969671259,0.23005242107671625
K-Means (22_sort_),-0.08887216382939353,-0.1360625785838264,0.4439509199025905
